"display_name","alias","category","origin","size","weight_min","weight_max","body_length_min","body_length_max","height_min","height_max","coat_type","lifespan_min","lifespan_max","personality","nutrition_notes","common_risks","disease_resistance","exercise_need","suitable_for","notes"
"狸花猫","Dragon Li、中国狸花猫、梨花猫","中华田园猫","中国","中型","3","6","","","","","短毛(双层)","12","18","聪明独立、警惕性高、对主人忠诚黏人、捕猎能力强","不挑食、体质强健；注意均衡饮食避免肥胖","猫传染性腹膜炎（偶发）；肥胖；口腔疾病","较强（基因多样性高，遗传病少，自然品种）","中等(每日15-30分钟互动玩耍)","新手友好、适合家庭、适合乡村与城市","CFA/TICA认证的中国本土自然猫种；高密度被毛耐寒耐热；建议室内饲养并定期驱虫"
"橘猫","黄狸、黄猫","中华田园猫","中国","中型","3","6","","","","","短毛","10","16","温顺慵懒、亲人贪吃、适应力极强、互动欲强","极易发胖，需严格控制食量、定时定量、高蛋白低脂","肥胖；糖尿病；脂肪肝；泌尿系统结石","较强（田园猫基因多样）","中等(每日15-30分钟互动玩耍)","新手友好、适合家庭","“十橘九胖”，公猫居多；贪吃易胖需终身控重"
"三花猫","三色猫、招财猫","中华田园猫","中国","中型","3","5","","","","","短毛","12","16","性格多变、亲人黏人、好奇活泼、适应力强","肠胃略脆弱，避免频繁换粮；均衡营养","肠胃敏感；生殖系统肿瘤（未绝育母猫）；肥胖","较强（基因多样）","中等(每日15-30分钟互动玩耍)","新手友好、适合家庭","几乎全为母猫，公三花极罕见（约三千分之一）；民间视为招财猫原型"
"玳瑁猫","玳瑁斑猫","中华田园猫","中国","中型","3","5","","","","","短毛","12","16","独立自信、警惕性强、活泼好动、精力旺盛","均衡饮食即可","肥胖；皮肤问题（花色无健康差异）","较强（基因多样）","中等(每日15-30分钟互动玩耍)","适合家庭、需有耐心","黑橘两色交织无明确界限；弃养率较高但体质好；多为母猫"
"奶牛猫","乌云盖雪、踏雪寻梅","中华田园猫","中国","中型","3","5","","","","","短毛","12","16","活泼好动、好奇心旺盛、爱捣蛋、外向不怯生","精力旺盛需充足互动；控制体重","肥胖；外伤（好动）；泌尿系统问题","较强（基因多样）","中等(每日15-30分钟互动玩耍)","适合家庭、适合爱互动者","被戏称“喵界二哈”；掉毛较明显；需提供玩具消耗精力"
"玄猫","黑猫","中华田园猫","中国","中型","3","5","","","","","短毛","12","16","独立警觉、敏捷冷静、捕猎能力突出、熟悉后黏人","正常均衡饮食即可","肥胖；皮肤问题（黑色被毛易藏皮肤病）","较强（基因多样）","中等(每日15-30分钟互动玩耍)","适合家庭、适合安静环境","民俗中被认为辟邪驱恶；夜视能力强；阳光下被毛可能显棕色光泽"
"山东狮子猫","临清狮猫、狮猫","中华田园猫(长毛)","中国山东临清","中型","2.5","5","","","","","长毛","12","15","温顺安静、亲人黏人、对陌生人友善、耐寒","长毛猫需注意化毛膏预防毛球症；均衡饮食","耳聋（蓝眼侧）；毛球症；肥胖","较强（本土杂交品种，基因多样）","中等(每日15-30分钟互动玩耍)","适合家庭、需有梳毛时间","波斯猫与鲁西狸猫杂交后代；鸳鸯眼纯白个体最名贵但蓝眼侧多有听力障碍；掉毛严重需每日梳毛"
"四川简州猫","简州猫、四耳猫","中华田园猫(本土)","中国四川简阳","中大型","4","6","","","","","短毛","12","16","聪明矫健、认主护主、仅亲近主人、对陌生人有攻击性","正常饮食；会主动吃草补充叶酸","关节问题（运动量大）；外伤","较强（地方品种）","中等(每日15-30分钟互动玩耍)","需有经验者、不适合多宠新手","“四耳”特征（耳郭重叠看似四耳）；明清时期皇家贡品；捕鼠能力极强；国际未认证"
"云猫","石虎、纹猫","野生猫科(国家二级保护)","中国云南、西藏及东南亚","中型","3","5.5","76","120","","","长毛","8","12","野性警觉、独行、夜行、擅长攀爬","野生食肉（鸟类、松鼠、蜥蜴为主），不宜家养","野生寄生虫；应激性疾病","野生种，非家养","中等(每日15-30分钟互动玩耍)","不适合家养（受法律保护）","Pardofelis marmorata，国家二级保护野生动物；CITES附录I；体型比家猫稍大，尾长几乎与体长相等；严禁私人饲养"
"英短蓝猫","英国短毛猫(蓝色)、蓝猫","英短颜色变体","英国","中大型","3","8","45","70","","","短毛(双层)","12","16","温顺冷静、独立有度、安静少叫、包容性强","极易肥胖，禁止自助放粮；高蛋白低脂；成猫每日干粮50-60g","肥厚性心肌病(HCM)；多囊肾病(PKD)；肥胖；牙结石","中等（纯种猫，有遗传病风险）","中等(每日15-30分钟互动玩耍)","新手友好、上班族、适合家庭、公寓饲养","“五短三圆”经典蓝胖子；3岁才完全成熟；掉毛量大；每年需心脏彩超筛查"
"英短蓝白","英国短毛猫(蓝白双色)","英短颜色变体","英国","中大型","3","8","45","70","","","短毛(双层)","12","16","温顺甜美、安静亲人、包容温和","同英短蓝猫，严格控制体重","肥厚性心肌病(HCM)；多囊肾病(PKD)；肥胖","中等","中等(每日15-30分钟互动玩耍)","新手友好、适合家庭","蓝+白双色，正八开脸、通脖满背品相佳；其余饲养要点同英短"
"金渐层","英国短毛猫(金渐层)","英短颜色变体","英国","中大型","3","8","45","70","","","短毛(双层)","12","16","温顺亲人、安静稳重","同英短，控制体重","肥厚性心肌病(HCM)；多囊肾病(PKD)；肥胖","中等","中等(每日15-30分钟互动玩耍)","新手友好、适合家庭","暖金色底毛、绿眼；品相好价格偏高；饲养要点同英短"
"银渐层","英国短毛猫(银渐层)","英短颜色变体","英国","中大型","3","8","45","70","","","短毛(双层)","12","16","温顺安静、独立亲人","同英短，控制体重","肥厚性心肌病(HCM)；多囊肾病(PKD)；肥胖","中等","中等(每日15-30分钟互动玩耍)","新手友好、适合家庭","白毛底仅毛尖带灰黑、绿眼；网红热门款；饲养要点同英短"
"纯白英短","英国短毛猫(纯白)","英短颜色变体","英国","中大型","3","8","45","70","","","短毛(双层)","12","16","温顺安静、亲人","同英短，控制体重","肥厚性心肌病(HCM)；多囊肾病(PKD)；蓝眼白猫可能耳聋","中等","中等(每日15-30分钟互动玩耍)","新手友好、适合家庭","蓝眼纯白个体存在耳聋基因风险；皮肤较敏感；饲养要点同英短"
"美国短毛猫","美短、American Shorthair","短毛猫","美国","中大型","3.5","7","50","75","","","短毛(双层)","15","20","温顺友好、活泼独立、聪明易训、适应力强","肠胃强健不挑食；高蛋白(≥30%)；定时定量防胖","肥厚性心肌病(HCM)；髋关节发育不良；肥胖；牙周病","较强（基因稳定，遗传病少）","中等(每日15-30分钟互动玩耍)","新手首选、适合家庭(含小孩)、上班族","银虎斑最经典；“起司猫”原型；体质皮实好养活；每年心脏筛查"
"布偶猫","Ragdoll、布偶、仙女猫","长毛猫","美国","大型","4.5","9","80","100","","","长毛","12","15","温顺粘人、对人友善、几乎无攻击性、像布娃娃","玻璃胃易软便，需7日换粮法；低敏高消化率猫粮；补充益生菌","肥厚性心肌病(HCM，携带率约30%)；多囊肾病(PKD)；肠胃敏感(软便腹泻)","较弱（基因多样性低，遗传病高发）","中等(每日15-30分钟互动玩耍)","适合家庭(含老人小孩)、新手友好、需有时间陪伴","“猫中仙女”；4-8岁HCM发病高峰；建议1/3/5岁心脏超声筛查；独处超7小时易焦虑"
"波斯猫","Persian、波斯、长毛贵族","长毛猫","伊朗(阿富汗)/英国","中型","3.5","7","45","65","","","长毛(双层)","12","15","温文尔雅、安静少动、善解人意、亲人","高蛋白低脂；控制食量；4月龄以下幼猫肠胃弱","多囊肾病(PKD)；进行性视网膜萎缩(PRA)；扁脸呼吸问题；泪痕；牙周病","较弱（纯种扁脸猫，遗传病多）","中等(每日15-30分钟互动玩耍)","需有经验者、需大量梳毛时间","双层被毛长达10cm需每日梳理；扁脸易泪痕需每日清洁眼周；不适合无时间护理者"
"缅因猫","Maine Coon、缅因、温柔巨人","长毛猫","美国缅因州","大型","4","11","90","120","","","长毛(双层)","10","18","性情温顺、聪明独立、像狗一样跟随、对陌生人友善","食量大(普通猫1.5-2倍)；高蛋白；控重防关节负担","肥厚性心肌病(HCM)；髋关节发育不良；脊髓性肌萎缩症(SMA)；牙周病","中等（天然品种，较健康）","中等(每日15-30分钟互动玩耍)","适合空间大的家庭、需有经验者","体型最大的家猫之一，公猫可达10-18kg；需20㎡以上活动空间；猫砂盆≥60cm；医疗费用高50-100%"
"挪威森林猫","Norwegian Forest Cat、挪威猫","长毛猫","挪威","大型","4","10","80","110","","","长毛(双层)","12","16","沉稳独立、亲人不黏人、社交好、耐寒","高蛋白；控重防关节","肥厚性心肌病(HCM)；髋关节发育不良；丙酮酸激酶缺乏症；肝醣储积症IV型(GSD IV)","中等（天然品种）","中等(每日15-30分钟互动玩耍)","适合家庭、需垂直空间","北欧神话女神座驾；后腿长善攀爬；围脖华丽；掉毛极多需每日梳毛；发育需4-5年"
"西伯利亚猫","Siberian、西伯利亚","长毛猫","俄罗斯","大型","4","10","80","115","","","长毛(三层)","12","15","聪明忠诚、活泼爱水、像狗、依恋主人","高蛋白；食量较大","肥厚性心肌病(HCM，低发)；髋关节发育不良；多囊肾病(PKD)","较强（天然品种，遗传多样性高）","中等(每日15-30分钟互动玩耍)","适合家庭、含过敏人群(低致敏)","俄罗斯国猫；三层防水被毛耐-30℃低温；重点色变种称“涅瓦面具猫”；被列为低致敏品种"
"土耳其梵猫","Turkish Van、梵猫、凡湖猫","长毛猫","土耳其","中大型","3","8.5","60","90","","","长毛(半长单层)","10","18","独立贪玩、个性强、感情丰富、爱水","正常均衡饮食","肾脏疾病；肥厚性心肌病(HCM)；耳聋(白猫蓝眼)","中等","中等(每日15-30分钟互动玩耍)","适合家庭、适合爱水互动者","“凡湖”图案(白底红棕对称斑)；爱玩水罕见；半长毛无底层绒毛；夏季被毛脱落明显"
"土耳其安哥拉猫","Turkish Angora、安哥拉猫","长毛猫","土耳其","中型","2.5","5.5","55","80","","","长毛(单层丝质)","12","18","活泼外向、聪明机敏、爱水、忠诚但不愿被强行抱","正常均衡饮食","肥厚性心肌病(HCM)；先天性共济失调；耳聋(白猫蓝眼)","中等","中等(每日15-30分钟互动玩耍)","适合家庭、适合互动型主人","古老自然品种；丝滑单层被毛不易打结；白色异瞳个体多与耳聋相关；土耳其视为国宝禁止出口纯种"
"索马里猫","Somali、狐狸猫、长毛阿比","长毛猫","美国/英国(阿比西尼亚长毛版)","中型","2.5","5.5","55","80","","","长毛(半长)","12","16","活泼聪明、好奇调皮、精力旺盛、亲人但不爱抱","高蛋白；控重防胖","丙酮酸激酶缺乏症(PK Def)；进行性视网膜萎缩(PRA)；肾淀粉样变性；牙结石","中等","中等(每日15-30分钟互动玩耍)","需有经验者、需大量互动时间","阿比西尼亚猫的长毛版；狐尾状蓬松尾巴；需每日60-90分钟运动；不适合想要安静猫的人"
"巴厘猫","Balinese、巴厘岛猫、长毛暹罗","长毛猫","美国(暹罗长毛版)","中型","2.5","5","55","80","","","长毛(半长单层)","12","15","聪明粘人、话痨、好奇社交、对家庭忠诚","高蛋白；注意口腔与肾脏","进行性视网膜萎缩(PRA)；斜视；肥厚性心肌病(HCM)；牙周病","中等","中等(每日15-30分钟互动玩耍)","适合互动型主人、不适合怕吵者","暹罗猫的长毛变种；丝滑单层被毛不易打结；重点色基因；叫声大爱表达"
"尼比龙猫","Nebelung、雾猫、长毛俄罗斯蓝","长毛猫","美国","中型","2.7","6.8","50","75","","","长毛(半长双层)","13","18","安静忠诚、内向慢热、对一人特别忠诚、聪明","计量喂食防胖；促饮水防尿路疾病","肥厚性心肌病(HCM)；肥胖；尿路疾病","较强（与俄罗斯蓝共享健康基因池）","中等(每日15-30分钟互动玩耍)","适合安静家庭、需有耐心","“雾中之猫”，俄罗斯蓝的长毛版；银蓝半长毛配绿眼；怕吵及环境变化；TICA认可CFA未认可"
"伯曼猫","Birman、缅甸圣猫、神圣缅甸猫","长毛猫","缅甸/法国","中型","4","6","55","80","","","长毛(丝质中长)","12","16","温和亲人、忠诚跟随、安静友善、易训练","易发胖，需控食；均衡饮食","多囊肾病(PKD)；肥厚性心肌病(HCM)；牙结石；肥胖","中等","中等(每日15-30分钟互动玩耍)","适合家庭、新手较友好","重点色+四足白色“手套”为标志；深蓝圆眼；丝质毛不易打结每周梳2-3次"
"喜马拉雅猫","Himalayan、喜马拉雅、重点色波斯","长毛猫","美国(波斯×暹罗)","中型","3.5","5.5","45","65","","","长毛(双层)","12","15","温顺亲人、安静稳重、比波斯活泼","同波斯，控制饮食","多囊肾病(PKD)；进行性视网膜萎缩(PRA)；扁脸呼吸问题；泪痕","较弱（扁脸纯种）","中等(每日15-30分钟互动玩耍)","需有经验者、需梳毛时间","波斯猫与暹罗猫杂交的重点色长毛猫；扁脸结构带来呼吸与泪痕问题；需每日梳毛"
"拉邦猫","LaPerm、拉波卷毛猫","卷毛猫","美国","中型","3","5.5","50","75","","","卷毛(短/长)","12","15","活泼亲人、聪明好奇、温柔、爱交流","正常均衡饮食","整体健康，无明显遗传病；耳部清洁","较强（自然突变品种）","中等(每日15-30分钟互动玩耍)","新手友好、适合家庭","天然卷毛突变品种；卷毛柔软如羊毛；掉毛少；分短毛与长毛两种"
"暹罗猫","Siamese、挖煤工、泰国猫","短毛猫","泰国","中型","3","6","50","75","","","短毛(单层)","12","20","极度粘人、猫界话痨、聪明好动、可训度高、嫉妒心强","肠胃强健不挑食；高蛋白；充足饮水防泌尿问题","牙周疾病；肥厚性心肌病(HCM)；进行性视网膜萎缩(PRA)；斜视","较强（原生品种，遗传病少）","中等(每日15-30分钟互动玩耍)","适合互动型主人、不适合怕吵/独居少陪伴者","古老皇室猫；重点色越冷越黑、越老越黑；最长寿猫品种之一；需大量陪伴否则焦虑拆家"
"孟买猫","Bombay、小黑豹","短毛猫","美国","中型","3.5","6.5","45","65","","","短毛(单层)","12","16","亲人社交、忠诚跟随、好奇爱探索、对其他宠物友好","控制体重防胖；均衡饮食","肥厚性心肌病(HCM)；呼吸系统问题(短鼻)；牙龈炎；肥胖","中等","中等(每日15-30分钟互动玩耍)","适合家庭、新手友好","缅甸猫×美国短毛猫培育的“微型黑豹”；漆黑被毛配金铜眼；独处耐受低易分离焦虑"
"俄罗斯蓝猫","Russian Blue、俄国蓝猫、冬之精、大天使猫","短毛猫","俄罗斯(阿尔汉格尔斯克)","中型","3","6","45","65","","","短毛(双层)","15","20","文静害羞、怕生慢热、对认定主人极度忠诚黏人","计量喂食防胖；促饮水","肥胖；尿路疾病；整体遗传病少","较强（天然品种，基因稳定）","中等(每日15-30分钟互动玩耍)","适合安静家庭、上班族、新手","银蓝双层短毛带银光；翠绿杏仁眼；“蒙娜丽莎微笑”；最健康长寿的品种之一"
"阿比西尼亚猫","Abyssinian、阿比、芭蕾舞猫","短毛猫","埃塞俄比亚(争议)/英国","中型","4","7.5","40","60","","","短毛(单层)","12","15","活泼热情、聪明好奇、精力旺盛、爱攀爬、亲人","高蛋白满足能量；补充牛磺酸","进行性视网膜萎缩(PRA)；丙酮酸激酶缺乏症(PK Def)；肾淀粉样变性；牙周病","中等","中等(每日15-30分钟互动玩耍)","需有经验者、需大空间","最古老猫种之一；ticked虎斑(每一根毛多色带)；不喜被抱；需大量垂直活动空间"
"东方短毛猫","Oriental Shorthair、东方猫","短毛猫","英国/泰国","小到中型","2.5","5","50","65","","","短毛(单层)","12","15","活泼好动、极度粘人、话痨、聪明好奇","高蛋白；注意口腔与牙齿","肥厚性心肌病(HCM)；牙周病(颌骨窄牙齿拥挤)；肠胃敏感","中等","中等(每日15-30分钟互动玩耍)","适合互动型主人、不适合怕吵者","暹罗猫单色变种；耳朵极大、楔形脸；毛色最丰富(近300种)；饲养要点接近暹罗"
"孟加拉豹猫","Bengal、孟加拉猫、豹猫","短毛猫","美国","中型","4","8","55","85","","","短毛(单层)","12","16","精力无限、极其聪明、爱水、可训、爱攀爬、拆家能力强","高蛋白；标准猫粮即可","肥厚性心肌病(HCM)；丙酮酸激酶缺乏症(PK Def)；进行性视网膜萎缩(PRA)","中等（杂交品种较健壮）","中等(每日15-30分钟互动玩耍)","需有经验者、需大量空间与时间","家猫与亚洲豹纹猫杂交后代(F4起为纯家猫)；需每日30分钟以上高强度运动；可训练牵绳遛弯；新手慎选"
"埃及猫","Egyptian Mau、法老猫","短毛猫","埃及","中型","2.25","5","45","65","","","短毛(单层)","12","15","聪明亲人、敏捷快速、活泼、对主人忠诚","控制体重；高蛋白","肥胖；糖尿病；牙周病","中等","中等(每日15-30分钟互动玩耍)","适合家庭、适合互动者","天然斑点虎斑家猫；世界上最快的家猫(可达48km/h)；怕生需早期社会化"
"新加坡猫","Singapura、下水道猫、Kucinta","短毛猫","新加坡","小型","1","2.7","35","50","","","短毛(单层)","11","15","开朗外向、好奇活泼、亲人、社交性强","高蛋白；补充牛磺酸与维生素A","进行性视网膜萎缩(PRA)；丙酮酸激酶缺乏症(PK Def)；难产(骨盆狭窄)","中等","中等(每日15-30分钟互动玩耍)","新手友好、适合公寓","世界上最小的家猫品种；曾栖息下水道故称“阴沟猫”；新加坡国宝；70%分娩需剖腹产"
"柯尼斯卷毛猫","Cornish Rex、柯尼斯","卷毛猫","英国","中型","2.5","4.5","45","65","","","卷毛(短)","12","15","活泼聪明、亲人顽皮、精力旺盛、爱交际","高蛋白；注意保暖","脱毛症(被毛稀疏)；消化问题；体温调节差(怕冷)","中等","中等(每日15-30分钟互动玩耍)","适合互动型主人、适合过敏人群(低致敏)","天然卷毛突变；仅底层绒毛无护毛，触感如天鹅绒；怕冷需保暖；掉毛少"
"德文卷毛猫","Devon Rex、德文、卷毛精灵","卷毛猫","英国","中小型","2","4","40","60","","","卷毛(短)","9","15","极度黏人、猫中狗性、高智善学、社交达人","高蛋白；注意保暖","肥厚性心肌病(HCM)；肌肉病(Devon myopathy)；脱毛症；皮肤出油","中等","中等(每日15-30分钟互动玩耍)","适合有时间陪伴者、不适合独居少陪伴","卷毛基因与柯尼斯不同(KRT74)；大耳楔形脸“精灵感”；独处超6小时易焦虑；掉毛仅为普通猫1/3"
"美国卷耳猫","American Curl、反耳猫","特殊(卷耳)","美国","中型","2.3","4.5","45","65","","","短毛/长毛","12","16","亲人活泼、像狗、好奇聪明、适应力强","定时定量控重","遗传性心脏肥大(HCM)；甲状腺机能亢进；外耳炎(耳道结构特殊)","较强（卷耳基因不致骨软骨发育不全）","中等(每日15-30分钟互动玩耍)","新手友好、适合家庭","耳朵向后卷曲(90-180度)为自然基因突变；与折耳基因不同，无骨骼致残风险；需定期清洁耳道，绝不可硬折耳朵"
"曼岛猫","Manx、马恩猫、无尾猫","特殊(无尾)","英国马恩岛","中型","3.5","5.5","45","65","","","短毛/长毛(双层)","12","16","忠诚活泼、像狗、爱玩巡回、亲人、安静","控重；均衡饮食","Manx综合征(脊柱畸形致肠道膀胱功能障碍)；关节炎；角膜营养不良","中等","中等(每日15-30分钟互动玩耍)","适合家庭、需选正规繁育者","天生无尾或短尾(自然基因突变)；后腿长于前腿步态如兔；双尾类型(rumpy/stumpy/longy)；繁育需谨慎避免同基因纯合致死"
"奥西猫","Ocicat、奥西","短毛猫","美国","中型","3","5","50","75","","","短毛(单层)","12","15","活泼亲人、聪明好奇、社交好、可训","控重；高蛋白","肥厚性心肌病(HCM)；牙周病；肥胖","较强（杂交品种，较健康）","中等(每日15-30分钟互动玩耍)","适合家庭、新手较友好","阿比西尼亚×暹罗×美国短毛猫杂交培育；野生豹猫外观但无野生血统；除象牙色斑点外毛色丰富"
"萨凡纳猫","Savannah、热带草原猫","短毛猫(杂交)","美国","大型","4","15","60","100","","","短毛(单层)","12","20","忠诚聪明、像狗、爱水、可训、精力旺盛","高蛋白为主，可生骨肉；食量大","丙酮酸激酶缺乏症(PK Def)；肥厚性心肌病(HCM)；繁殖期雄性不育(F1-F3)","中等","中等(每日15-30分钟互动玩耍)","需有经验者、需大量空间","非洲藪猫×家猫杂交；F1体型最大(10-15kg)F5接近普通家猫(4-7kg)；TICA认可；部分国家/地区禁养；智商极高易开锁开门"
"夏特尔猫","Chartreux、沙特尔猫、法国蓝猫","短毛猫","法国","中大型","3.5","7","45","55","","","短毛(双层)","12","16","温顺沉稳、独立不黏人、忠诚安静、高冷","控重防胖；促饮水","多囊肾病(PKD)；尿路结石；中暑(怕热)；肥胖","较强（古老天然品种）","中等(每日15-30分钟互动玩耍)","适合家庭、适合安静环境","法国“蓝绒绅士”；蓝灰羊毛毡质感双层毛配金黄铜眼；“微笑”表情；怕热夏季需防暑；与俄罗斯蓝猫、英短蓝猫并称“蓝猫三杰”"
"斯芬克斯无毛猫","Sphynx、加拿大无毛猫、外星猫","无毛猫","加拿大","中大型","3.5","6","50","65","","","无毛(稀疏胎毛)","12","16","极度黏人、社交热情、聪明好动、体温高","新陈代谢快食量大；高蛋白；冬季需高热量","皮肤出油/皮炎/晒伤；肥厚性心肌病(HCM)；消化问题；体温调节差","中等（基因突变品种）","中等(每日15-30分钟互动玩耍)","适合过敏人群(低致敏)、需有时间陪伴","HR基因突变致无毛；皮肤需定期擦拭清洁、冬季保暖夏季防晒；体温比普通猫高1-2℃；并非完全低敏"
"曼基康矮脚猫","Munchkin、矮脚猫、曼赤肯","特殊(短腿)","美国","小到中型","2.7","4","40","55","","","短毛/长毛","12","15","活泼亲人、像幼猫、社交好、聪明、爱收集小物件","控重(短腿承重大)；高蛋白","腰椎间盘突出；关节损伤；心脏问题(争议)；脊椎退变","中等（短腿基因不致死，但伦理有争议）","中等(每日15-30分钟互动玩耍)","适合家庭、不适合过度运动","短腿显性基因突变(仅影响四肢)；TICA认可CFA未认可；跳跃力仍强；需定期梳毛(后腿难自理)；存在伦理争议"
"美国短尾猫","American Bobtail(家猫品种)","特殊(短尾)","美国","中大型","3","7","50","80","","","短毛/长毛","13","18","温顺聪明、像狗、忠诚、爱玩巡回","控重；高蛋白","髋关节发育不良；肥厚性心肌病(HCM)；脊柱问题(短尾基因)","较强（自然突变品种）","中等(每日15-30分钟互动玩耍)","适合家庭、适合互动者","短尾为自然基因突变，与野生短尾猫(Lynx rufus)不同；野性外观但性格温顺；可牵绳训练；适应力强"
"日本短尾猫","Japanese Bobtail、三色猫、招财猫原型","特殊(短尾)","日本","中型","3","5","45","70","","","短毛/长毛","12","18","聪明活泼、像狗、爱玩巡回、亲人、话少","控重；碳水代谢弱，高蛋白低碳水","尾椎关节炎；眼睑内翻；肥厚性心肌病(混血血系)；肥胖","较强（短尾基因为隐性，不致脊柱问题）","中等(每日15-30分钟互动玩耍)","新手友好、适合家庭","短尾像绒球(自然隐性基因，无脊柱缺陷风险)；招财猫(Maneki-neko)原型；常见三色花色；整体健康长寿"
"苏格兰折耳猫","Scottish Fold、折耳猫、苏格兰弯耳猫","特殊(折耳)","英国苏格兰","中型","2.5","6","40","60","","","短毛/长毛","10","15","温顺甜美、安静、感情丰富、聪明贪玩","肠胃较弱，固定品牌猫粮；控重","软骨发育不全(所有折耳猫均携带，致关节疼痛/跛行/瘫痪)；肥厚性心肌病(HCM)；皮肤病；多囊肾病(PKD)","较弱（折耳基因即致病基因）","中等(每日15-30分钟互动玩耍)","不推荐购买繁育、已饲养者需长期医疗照护","折耳外观=先天性软骨发育不全基因缺陷，无药可医，伴随终生剧痛；两只折耳猫不可交配(致死)；强烈伦理争议，多国禁止繁育；建议领养而非购买"
"异国短毛猫","Exotic Shorthair、加菲猫、短毛波斯","短毛猫","美国","中型","3.5","7","40","60","","","短毛(双层)","12","15","慵懒佛系、温和亲人、贪吃、安静、治愈","贪吃易胖需严控食量；高蛋白低脂","多囊肾病(PKD)；扁脸呼吸问题/猫鼻支；泪痕；肥厚性心肌病(HCM)；牙周病","较弱（扁脸纯种，遗传病多）","中等(每日15-30分钟互动玩耍)","需有经验者、需护理泪痕时间","波斯猫×美国短毛猫培育的“短毛波斯”；扁脸圆眼像加菲猫；每日需清洁泪痕；安静省心但健康问题多"
"明斯金猫","Minskin、明斯金","特殊(短腿稀毛)","美国","小型","1.8","2.7","30","45","","","短毛(稀疏胎毛)","12","14","亲人活泼、社交强、聪明好奇、爱玩","高蛋白少量多餐；注意保暖","皮肤问题(出油/皮炎/晒伤)；体温调节差；心脏问题","中等（新培育品种）","中等(每日15-30分钟互动玩耍)","适合家庭、需有时间护理","曼基康×斯芬克斯×德文卷毛猫×缅甸猫杂交培育(1998年)；体型小、四肢短、被毛稀疏；需定期擦拭皮肤；数量稀少"
"亚洲豹纹猫","豹猫、Prionailurus bengalensis、石虎","野生猫科(部分种群国家二级保护)","亚洲(中国、东南亚、印度等)","中型","3","7","60","90","","","短毛","10","15","野性警觉、独居夜行、攀爬跳跃能力强、不宜亲近","野生食肉(鼠、鸟、鱼、蛙)，不宜家养","野生寄生虫；应激性疾病；传染病","野生种，非家养","中等(每日15-30分钟互动玩耍)","不适合家养（受法律保护，部分种群为国家二级保护)","注意：此为野生豹猫(亚洲豹纹猫)，是孟加拉豹猫的野生祖先；中国境内分布的豹猫部分种群为国家二级保护野生动物；与家猫染色体数相同可杂交，但野生个体严禁私人饲养；家养化后代经多代选育方为孟加拉豹猫"
