"disease_name","parasite_type","parasite_name","latin_name","susceptible_species","transmission","parasite_location","symptoms","diagnosis","treatment_drugs","prevention","is_zoonotic","notes"
"蛔虫病(犬蛔虫/猫蛔虫)","体内寄生虫","犬弓首蛔虫、猫弓首蛔虫、狮弓蛔虫","Toxocara canis; Toxocara cati; Toxascaris leonina","犬;猫(尤以幼龄)","食入感染性虫卵(土壤、污染物);母犬经胎盘传仔犬;乳汁传播;捕食带虫中间宿主(鼠、鸟)","小肠(成虫);幼虫移行经肝、肺、肌肉等组织","幼龄:腹部膨大(蛔虫肚)、呕吐(可吐出虫体)、腹泻、发育迟缓、被毛粗乱、咳嗽(幼虫移行);成虫多无症状;大量寄生致肠梗阻、胆道蛔虫","粪便漂浮法查虫卵(犬弓首蛔虫卵棕黄色、有麻点);成虫肉眼可见;血常规(嗜酸性粒细胞增多);影像学","阿苯达唑(25-50mg/kg)、甲苯咪唑、芬苯达唑、米尔贝肟、塞拉菌素、伊维菌素(注意柯利犬MDR1基因突变禁用)","定期驱虫:幼犬2周龄开始每2周一次至12周龄;成犬每3个月一次;孕犬产前驱虫;清理粪便发酵;防止捕食鼠、鸟","是","人误食虫卵致内脏幼虫移行症(VLM)、眼幼虫移行症(可致盲);犬蛔虫病例占犬寄生虫病57%;虫卵环境抵抗力强可存活数年;3月龄内幼犬几乎100%感染"
"钩虫病","体内寄生虫","犬钩口线虫、巴西钩口线虫、窄头弯口线虫","Ancylostoma caninum; Ancylostoma braziliense; Uncinaria stenocephala","犬;猫","食入感染性幼虫;幼虫经皮肤穿透(爪、腹);乳汁传播(母传仔);捕食带虫宿主","十二指肠(成虫);幼虫经皮肤、血液移行","贫血(钩虫吸血致失血)、黑色柏油样便(血便)、腹泻、消瘦、衰弱、幼龄发育不良;经皮肤感染致爪部皮炎;大量寄生致死亡","粪便漂浮法查虫卵(椭圆形、薄壳);血常规(小细胞低色素贫血、嗜酸性粒细胞增多);临床症征","阿苯达唑、甲苯咪唑、芬苯达唑、米尔贝肟、塞拉菌素、伊维菌素(柯利犬慎用);补铁、输血(严重贫血)","定期驱虫(每3个月);保持环境干燥清洁;及时清理粪便;防止皮肤接触污染土壤;孕犬产前驱虫","是(犬钩口线虫致人皮肤幼虫移行症、匍行疹)","钩虫吸血量大(一条虫每日吸血0.01-0.2ml);幼虫可经皮肤感染人致匍行疹(creeping eruption);我国南方多发;虫卵在适宜环境可存活数月"
"绦虫病","体内寄生虫","犬复孔绦虫(犬猫最常见)、泡状带绦虫、细粒棘球绦虫","Dipylidium caninum; Taenia hydatigena; Echinococcus granulosus","犬;猫","食入含似囊尾蚴的跳蚤(犬复孔绦虫)或鼠(其他绦虫);捕食带虫中间宿主;不直接经粪便虫卵感染","小肠(成虫);中间宿主体内(幼虫)","多数无症状;肛周瘙痒(犬蹭屁股);粪便或肛周可见白色米粒样节片(似黄瓜籽);偶见腹泻、消瘦、呕吐;细粒棘球绦虫致人畜共患包虫病","粪便查节片或虫卵(犬复孔绦虫卵囊似黄瓜籽);肛周胶带粘取; PCR;排除其他寄生虫","吡喹酮(首选,5mg/kg)、阿苯达唑、伊维菌素、米尔贝肟+吡喹酮复方制剂;同时驱蚤(关键)","定期驱虫(每3个月);同时驱蚤(跳蚤为中间宿主);防止捕食鼠、生肉;不喂生肉、生内脏;环境灭蚤","是(细粒棘球绦虫致人包虫病;犬复孔绦虫偶感染人、儿童误食跳蚤)","犬复孔绦虫最常见(经跳蚤传播);细粒棘球绦虫致包虫病(人肝、肺囊肿,我国西北牧区高发);多房棘球绦虫更致命;驱绦虫必须同时驱蚤"
"鞭虫病","体内寄生虫","狐毛首线虫(犬鞭虫)","Trichuris vulpis","犬(猫少见)","食入感染性虫卵(土壤、污染物、粪便);虫卵环境抵抗力强","盲肠、结肠(成虫)","多数无症状;重者:腹泻(常带黏液和鲜血)、里急后重、体重下降、贫血、脱水;慢性腹泻;幼龄发育不良;直肠脱垂(严重病例)","粪便漂浮法查虫卵(柠檬形、两端有塞、棕黄色);结肠镜检;血常规(贫血);排除钩虫、贾第鞭毛虫","甲苯咪唑(首选,100mg每日2次,3-5天)、阿苯达唑、芬苯达唑、米尔贝肟;疗程常需重复","定期驱虫;及时清理粪便;环境清洁干燥;虫卵抵抗力强需彻底消毒","是(偶感染人,但人鞭虫为人专用种)","鞭虫卵对常用驱虫药敏感性低,需增加剂量和疗程;虫卵在土壤可存活数年;我国南方多发;诊断需一粪三检提高检出率"
"心丝虫病(犬恶丝虫病)","体内寄生虫","犬恶丝虫","Dirofilaria immitis","犬(主要终宿主);猫(异常宿主);偶感染人","蚊虫叮咬传播(多种蚊子为媒介,如库蚊、伊蚊、按蚊);不直接犬间传播","心脏右心室、肺动脉(成虫);血液(微丝蚴)","早期无症状;咳嗽、运动不耐受;嗜睡、体重下降;呼吸困难、咳血;右心衰竭(腹水、肝肿大);猫可致呼吸窘迫、呕吐、猝死;人偶发肺结节","抗原检测(犬,成虫抗原ELISA,首选);微丝蚴血涂片(改良Knott试验);抗体检测(猫);胸部X光;心脏超声;生化","成虫杀虫药:美拉索明(Melarsomine,砷剂,有血栓栓塞风险);多西环素(杀沃尔巴克氏体共生菌);限制运动(关键);支持疗法;猫无成虫杀虫药(对症);手术取虫(严重病例)","每月预防药(伊维菌素、米尔贝肟、塞拉菌素、莫西菌素)或每年注射(莫西菌素长效);全年预防(我国南方);蚊虫控制;预防前先抗原检测","是(人偶发肺结节,但不发育为成虫)","蚊传寄生虫病;预防远胜治疗(预防率近100%);治疗费用是预防10倍以上;我国南方高发;犬为终宿主虫体发育完全;猫为异常宿主虫体发育不全;成虫可存活7年"
"肺线虫病(猫肺线虫)","体内寄生虫","嗜气毛细线虫(猫肺线虫)、奥氏奥斯勒线虫","Aelurostrongylus abstrusus; Oslerus osleri","猫(肺线虫);犬(奥斯勒线虫)","食入带幼虫的中间宿主(螺、蛞蝓、爬行类);捕食转运宿主(鼠、鸟、爬行类)","肺部、肺血管、细支气管","咳嗽、呼吸急促、喘息;偶有呼吸困难;幼龄症状重;继发细菌感染致肺炎;多数轻度感染无症状","粪便贝曼法查幼虫(猫肺线虫);BAL(支气管肺泡灌洗);胸部X光(肺结节、支气管增厚);PCR;排除猫哮喘","芬苯达唑(25-50mg/kg,2-4周)、伊维菌素、米尔贝肟、塞拉菌素、莫西菌素;支持疗法;抗生素防继发感染","定期驱虫;防止猫捕食螺、蛞蝓、鼠、爬行类;环境清洁;减少户外捕猎","否","猫肺线虫主要感染猫;犬奥斯勒线虫经唾液母传仔;中间宿主为螺蛳、蛞蝓;多猫环境、户外猫高发;治疗后可能复发"
"肺吸虫病(并殖吸虫病)","体内寄生虫","卫氏并殖吸虫、斯氏并殖吸虫","Paragonimus westermani; Paragonimus skrjabini","犬;猫;人;多种哺乳动物","食入含囊蚴的生淡水蟹、蝲蛄、小龙虾;生食或半生食;污染食具;我国流行区高发","肺部(成虫);异位寄生于脑、皮下、肝、淋巴结","慢性咳嗽、胸痛、咯血(铁锈色痰)、呼吸困难;发热、盗汗;异位寄生致皮下结节(游走性)、脑症状(癫痫、瘫痪、头痛);腹痛、腹泻","痰液或粪便查虫卵(金标准);血清学(ELISA);PCR;CT/MRI(肺囊肿、脑病变);排除结核、肺癌","吡喹酮(首选,25mg/kg每日3次,3天)、阿苯达唑、三氯苯达唑;支持疗法;对症(止血、止咳);手术(脑型)","不生食淡水蟹、蝲蛄、小龙虾;肉类彻底煮熟;防止犬猫捕食蟹类;粪便无害化处理;不饮生水","是","人畜共患病(食源性);我国南方、东北流行;成虫寿命20-25年;异位寄生(脑、皮下)严重;痰液查虫卵为关键诊断"
"肝吸虫病(华支睾吸虫病)","体内寄生虫","华支睾吸虫","Clonorchis sinensis","犬;猫;人;猪;鼠","食入含囊蚴的生淡水鱼、虾;生鱼片、鱼生粥;污染厨具;我国广东、广西、东北高发","肝胆管(成虫)","轻症无症状;食欲不振、消化不良、腹痛、腹泻、乏力;肝肿大、黄疸;重者肝硬化、腹水、胆结石、胆管癌;儿童发育障碍(侏儒症)","粪便查虫卵(改良加藤法,金标准);血清学(ELISA);PCR;B超(肝胆管扩张);生化(肝功能异常);排除肝炎","吡喹酮(首选,75mg/kg分3次,2天)、阿苯达唑;保肝治疗;对症(利胆、营养支持);手术(胆结石、胆管癌)","不生食淡水鱼、虾;鱼彻底煮熟;厨具生熟分开;犬猫不喂生鱼;粪便无害化处理;流行区筛查","是","人畜共患病(食源性);我国最严重食源性寄生虫病之一;22省流行;成虫寿命10-15年(可达20余年);明确致癌(胆管癌);广东、广西高发与食生鱼习惯有关"
"猫圆线虫病","体内寄生虫","嗜气毛细线虫(猫肺线虫)等","Aelurostrongylus abstrusus","猫(户外猫、捕猎猫高发)","食入带幼虫的中间宿主(螺、蛞蝓);捕食转运宿主(鼠、鸟、爬行类、两栖类)","肺部、肺动脉、细支气管","咳嗽、呼吸急促、喘息;严重呼吸困难;继发细菌性肺炎;幼龄、免疫低下症状重;多数轻度感染无症状","粪便贝曼法查幼虫(一期幼虫);BAL;胸部X光;PCR;排除猫哮喘、肺线虫","芬苯达唑、伊维菌素、米尔贝肟、塞拉菌素、莫西菌素;支持疗法;抗生素","定期驱虫;防止捕食螺、蛞蝓、鼠、爬行类;室内饲养;环境清洁","否","猫科专属肺线虫;螺、蛞蝓为中间宿主;鼠、蛙、蜥蜴为转运宿主;户外捕猎猫高发;治疗后可能持续数月排毒"
"眼线虫病(结膜吸吮线虫病)","体内寄生虫","结膜吸吮线虫","Thelazia callipaeda","犬;猫;人","果蝇(分泌物蝇属)叮咬眼部分泌物传播;果蝇为中间宿主","结膜囊、泪管、眼眶","结膜炎、眼分泌物增多、流泪、眼痒、异物感;角膜炎、角膜溃疡;严重致失明;可见白色线状虫体在眼表蠕动","眼部检查可见虫体(直接确诊);虫体镜检;PCR;排除其他结膜炎","机械取出虫体(表面麻醉后用镊子);伊维菌素滴眼液;左旋咪唑滴眼;莫西菌素、塞拉菌素点眼;对症抗炎","防蝇(果蝇);环境清洁;定期驱虫(含眼线虫);不喂生食;流行区犬猫定期眼部检查","是","人畜共患病;果蝇为媒介;我国山东、河南等有病例报告;犬猫为保虫宿主;人多见于农村儿童"
"贾第鞭毛虫病","体内寄生虫","蓝氏贾第鞭毛虫","Giardia lamblia","犬;猫;人;多种哺乳动物","粪口传播(污染水、食物);接触病畜粪便;包囊环境抵抗力强;多猫多犬环境高发","小肠(十二指肠、空肠)","慢性或间歇性腹泻(恶臭、灰白色、脂肪泻、黏液);腹胀、腹痛、食欲下降、体重下降;幼龄发育不良;猫慢性腹泻常见原因;多数无症状携带","粪便查包囊或滋养体(硫酸锌漂浮法、直接涂片,需多次检测);ELISA抗原检测;PCR(最敏感);排除三毛滴虫","芬苯达唑(50mg/kg,5天)、甲硝唑(25mg/kg,每日2次,5-7天)、罗硝唑(猫,效果较好);对症(补液、止泻);环境消毒","定期驱虫;不饮生水;食物彻底清洗;环境消毒(包囊对一般消毒剂耐受,需煮沸或季铵盐);病畜隔离;多猫多犬环境管理","是","人畜共患病(但人源与动物源基因型常不同);包囊在环境可存活数月;慢性腹泻主因;幼龄动物易感;复发常见;治疗需同时环境消毒"
"球虫病","体内寄生虫","犬等孢球虫、猫等孢球虫、隐孢子虫等","Isospora canis; Isospora felis; Cystoisospora spp.","犬;猫(幼龄高发)","食入感染性卵囊(粪便污染环境、食物、水);母传仔;污染物","小肠黏膜上皮细胞(细胞内寄生)","幼龄:水样或黏液性腹泻(常带血)、脱水、消瘦、发育迟缓、厌食、呕吐;严重致死亡;成龄多无症状;常为应激诱发(断奶、换环境、运输)","粪便漂浮法查卵囊(糖浮聚法);PCR;粪便直接涂片;排除贾第鞭毛虫、细小病毒","托曲珠利(首选,犬猫)、磺胺二甲嘧啶、氨丙啉、地克珠利;支持疗法(补液、电解质);对症;环境消毒","定期驱虫;环境清洁干燥;及时清理粪便(卵囊需孢子化才具感染性);减少应激;隔离病畜;幼龄重点防护","否(犬猫等孢球虫不感染人;隐孢子虫另述)","球虫在细胞内寄生驱杀困难;卵囊对消毒剂抵抗力强(需蒸汽清洁或10%氨水);断奶、运输等应激诱发;多猫/犬舍高发;治疗后易复发需重复检测"
"三毛滴虫病(猫)","体内寄生虫","胎儿三毛滴虫","Tritrichomonas foetus","猫(幼猫、纯种猫、多猫环境高发)","粪口传播(共用猫砂盆);污染物;直接接触","大肠(结肠)","慢性顽固性腹泻(恶臭、带黏液、偶带血);肛门周围污秽;体重下降但食欲常正常;病程可持续数月至数年;猫舍、纯种猫高发","粪便PCR(最敏感、确诊);培养(InPouch TF培养);镜检(滋养体,易与贾第鞭毛虫混淆);需多次粪便检查","罗硝唑(Ronidazole,30mg/kg每日1次,14天,猫首选,注意神经毒性);甲硝唑(效果差);对症(止泻、补液);益生菌;环境消毒","降低猫群密度;隔离病猫;每日清理猫砂盆;环境消毒;新猫隔离筛查;纯种猫繁育前筛查","否","猫专属;纯种猫、多猫环境高发;慢性腹泻主因之一;诊断需PCR(易漏检);罗硝唑有神经毒性需谨慎;治疗后可能持续携带;与贾第鞭毛虫鉴别"
"弓形虫病","体内寄生虫","刚地弓形虫","Toxoplasma gondii","猫(唯一终宿主,有性繁殖);犬及多种哺乳动物、人(中间宿主)","猫粪排出卵囊(猫科独有);食入含包囊未煮熟肉类;接触污染土壤、猫砂(卵囊24小时后具感染性);母婴垂直传播;输血","猫:肠上皮(有性)及全身组织(无性);中间宿主:全身有核细胞(脑、肌肉、视网膜等)","猫多无症状;幼龄或免疫低下:发热、厌食、肺炎、肝炎、眼炎、神经症状;犬:类似;人免疫正常多无症状(淋巴结肿大、低热);孕妇初次感染致胎儿畸形、流产、脑积水、视网膜脉络膜炎;免疫低下致脑炎","血清学(IgG、IgM、IgA,排除);PCR(血、组织、羊水);组织活检(弓形虫);CT/MRI(脑病变);眼底检查;排除其他病因","磺胺嘧啶+乙胺嘧啶(标准,需补充叶酸);克林霉素;螺旋霉素(孕妇);阿奇霉素;支持疗法;猫治疗指征有限","猫不喂生肉、生猎物;每日清理猫砂(关键,卵囊24小时后才感染性);孕妇避免清理猫砂;肉类彻底煮熟;接触土壤戴手套;洗手;猫绝育减少捕猎","是","猫为唯一终宿主;我国人群感染率约5%-10%;食用未煮熟肉类是人主要感染途径(占67%);养猫本身不增加感染风险(除非直接接触新鲜猫粪);孕妇初次感染最危险"
"隐孢子虫病","体内寄生虫","微小隐孢子虫、犬隐孢子虫、猫隐孢子虫","Cryptosporidium parvum; C. canis; C. felis","犬;猫;人;多种哺乳动物","粪口传播(污染水、食物);接触病畜粪便;卵囊环境抵抗力强且对氯消毒耐受","小肠上皮细胞(细胞内);偶及其他器官","水样腹泻(主要);腹痛、恶心、呕吐、厌食、低热、体重下降;免疫正常者多自限(1-2周);免疫低下者(AIDS、化疗)慢性严重腹泻可致死;幼龄动物腹泻","粪便查卵囊(抗酸染色、改良Ziehl-Neelsen、免疫荧光);ELISA抗原检测;PCR(分型);排除贾第鞭毛虫、球虫","硝唑尼奈(Nitazoxanide,唯一FDA批准,效果有限);巴龙霉素;阿奇霉素(免疫低下者);对症(补液、电解质);免疫重建;环境消毒(卵囊耐氯,需煮沸、蒸汽、10%氨水)","不饮生水;食物彻底清洗;接触病畜粪便后洗手;环境消毒(煮沸、蒸汽);病畜隔离;免疫低下人群防护","是","人畜共患病;被WHO列入6种最常见腹泻病;卵囊对氯消毒耐受(自来水加氯无法杀灭);免疫低下者(AIDS)严重;水源性暴发常见;我国感染率1.4%-13.3%"
